score,N
0.013339398386648585,4.0
-0.001002975645432011,112.0
-0.0036590080101108866,221.0
-0.0017114175235695044,330.0
-0.0016647559929969193,439.0
-0.0010497329621377363,548.0
-0.00015742657828723936,657.0
-0.0021312853776066657,766.0
-0.0025550149084732497,875.0
-0.0011849349299519567,984.0
-0.0016079328584262178,1093.0
0.00032912656331779297,1202.0
-0.001951939367921761,1311.0
-0.002801161403666879,1420.0
-0.0008530814849900494,1529.0
-0.0035229382390239974,1638.0
