score,N
-0.0009026850565869091,2393.181818181818
-0.0009491742219626209,2247.090909090909
0.0010972592261560537,2046.0
0.0047499742711238,1778.5454545454545
0.0013942481281773841,1428.909090909091
0.0018853452475512207,1027.3636363636363
0.0016605007008634917,681.9090909090909
0.0010743901870457868,422.54545454545456
-0.0013979983480702524,233.1818181818182
-0.0024121946370998376,99.9090909090909
0.0013371811520329138,29.09090909090909
0.046172223982503466,6.363636363636363
0.06512519550607677,1.6363636363636365
0.12987742495009125,0.7272727272727273
0.21862888060004698,0.36363636363636365
0.25503317092513955,0.18181818181818182
