score,N
0.967156707910432,1168.2727272727273
0.9599576384937984,1095.090909090909
0.9416433184832941,996.4545454545455
0.8617771567089062,876.3636363636364
0.7229790274982613,745.2727272727273
0.550685557498153,610.6363636363636
0.3990784758350123,461.8181818181818
0.18268390280265034,327.45454545454544
0.08045133035378259,208.0909090909091
0.13152583991122133,117.18181818181819
0.03967494143483061,60.54545454545455
0.022522199753050656,34.36363636363637
0.018892156760238053,17.181818181818183
0.011118695077604348,9.0
-0.0008299729590187227,3.727272727272727
-0.0011222128003427396,1.1818181818181819
