score,N
0.003219174791294873,1163.909090909091
0.009097928908546575,1083.2727272727273
0.039890324311943864,977.8181818181819
0.025645790814836405,858.0
0.01956669388022335,732.8181818181819
-0.007190237767974055,598.5454545454545
-0.07504955640295756,459.90909090909093
0.02167991264659745,325.0
0.07347410232954162,212.54545454545453
0.057302593842926054,124.36363636363636
-0.11206695106970688,67.0
0.14471600818323868,38.45454545454545
-0.3625227612368728,19.363636363636363
-0.30536215837596764,9.090909090909092
0.394705685879318,3.272727272727273
0.8452071420188154,0.6363636363636364
