score,N
1.0104531392661533,2393.181818181818
1.0352664996133019,2247.090909090909
1.0538318719149944,2046.0
1.023397208390236,1778.5454545454545
1.0106279478470102,1428.909090909091
1.1030694738268239,1027.3636363636363
1.0937291765093713,681.9090909090909
0.8224826740100593,422.54545454545456
0.6429749859117848,233.1818181818182
0.49906184664021414,99.9090909090909
0.2455303675562512,29.09090909090909
0.01724578258446543,6.363636363636363
-0.0003435102320090117,1.6363636363636365
0.0013204938036176371,0.7272727272727273
0.0016556629693605216,0.36363636363636365
5.4321683047187344e-05,0.18181818181818182
