score,N
1.0451411636395966,2784.181818181818
1.0482061048521698,2619.2727272727275
1.03172506070637,2366.818181818182
1.023735071898936,2034.2727272727273
0.915020665094533,1675.090909090909
0.7908807335432989,1310.909090909091
0.5511034678720161,1002.7272727272727
0.3395914237526366,736.2727272727273
0.0650292881074812,511.54545454545456
0.005484223220347645,330.6363636363636
0.0028503189902203277,176.0909090909091
0.00398864386192293,70.72727272727273
0.0019848434134094027,12.909090909090908
0.002382579940468606,1.0
0.007335484372191523,0.18181818181818182
0.000516559586900617,0.0
