score,N
0.004496799278502087,2673.5454545454545
0.009386689562853342,2504.818181818182
-0.0022435695249807385,2267.818181818182
-0.0016503936639074446,1966.0
0.0019314906469750676,1626.3636363636363
0.007330715244224923,1279.3636363636363
0.004507888132390252,962.6363636363636
-0.011002639028401066,674.0
-0.05754409719770163,445.45454545454544
-0.10871620787300847,269.27272727272725
-0.04750966158391189,136.0909090909091
0.028225388098796125,50.27272727272727
-0.03737139088236122,15.454545454545455
0.19892139346092197,4.090909090909091
0.5802725334262447,0.9090909090909091
1.0000044581732632,0.0
