score,N
0.00019758914389949401,2384.0
-0.000984908547767425,2244.4545454545455
-0.0014268109497144914,2043.7272727272727
0.0014772963237583644,1778.1818181818182
-1.4119284605358703e-05,1432.909090909091
0.0012247668816259645,1049.6363636363637
0.0020748768120880026,698.0909090909091
-0.0008126668359366534,441.54545454545456
-0.0016852261072974168,245.27272727272728
-0.0036069430603932143,106.0
0.0007253468448176051,27.818181818181817
0.0267605835689333,6.363636363636363
0.054720601364733355,2.0
0.0655565642493532,0.7272727272727273
0.15299242338297747,0.36363636363636365
0.19203004175917102,0.18181818181818182
