score,N
-0.009527768134928455,2806.909090909091
-0.005384640869902748,2625.181818181818
0.0024926139893947504,2371.2727272727275
-0.00696280962411826,2043.8181818181818
-0.005690842311180771,1673.2727272727273
0.001806981309235555,1322.909090909091
-0.0033769080333617696,1009.0
-0.002667853607838514,737.3636363636364
0.02032534348817606,507.54545454545456
-0.01388937109931259,330.09090909090907
-0.07287416314764443,182.0
-0.0660041547107864,65.18181818181819
0.5733397242259122,9.181818181818182
0.950847598282652,0.2727272727272727
0.9816667881364219,0.09090909090909091
1.0000125038464773,0.0
